ID,Barcode,Name,Category,CostPrice,SalePrice,Stock
1,896101400234,Pakola Cream Soda 1.5L,Drinks,119,170,97
2,123456789012,Coca Cola 1.5L,Drinks,133,190,119
3,222333444555,Nestle Fruita Vitals Orange 1L,Drinks,203,290,59
6,6924429864484,AAA 1.5V Cell Pack,Electronics,0,30,10
23,6924429863487,AA 1.5V Cell Pack,Electronics,0,40,9
34,111111111111,Switch ,Electronics,0,50,20
126,620514000367,National Haleem Mix (S),Food,0,150,5
127,8961104240209,Baba Chat Masala (S),Food,0,150,5
128,788821150363,Shan Achar Ghosht Masala (S),Food,0,150,5
129,788821151292,Shan Tikka Masala (S),Food,0,150,5
130,8961104240698,Baba Black Pepper Powder (S),Food,0,150,5
131,620514000565,National Quorma (S),Food,0,150,5
132,788821023438,Shan Korma (S),Food,0,150,5
133,300668732122,Real Kisan Wheat Porrige (L),Food,0,150,5
134,8680054657591,Delight Strawberry Custard ,Food,105,130,5
135,8690081634649,Delight Banana Custard ,Food,105,130,5
136,5028217000991,Laziza Kheer Pudding,Food,0,165,5
137,4284634275881,Khan Chat Masala Sachet,Food,0,30,5
138,8964000182857,Khan Bombay Baryani Sachet,Food,0,30,5
139,651298562406,Khan Qorma Masala Sachet,Food,0,30,5
140,8964000346549,Olpers Cream Milk 250ml,Food,0,100,5
141,8961008022185,Milkpak Milk 250ml,Food,0,100,5
142,8964000702574,Qudrat Milk 250ml,Food,0,60,5
143,8961014038200,Knorr Masala Noodles Rs.50,Food,0,50,5
144,8964002982493,Fruitien Masala Noodles Rs.30,Food,0,30,5
145,8964002982516,Fruitien Chicken Noodles Rs.30,Food,0,30,5
5,8964000090602,Lays Small Masala,General,0,20,18
28,8886950072432,Lemon Max Soap (Small),General,0,35,9
29,8991220001736,Chipser Salted Rs.20,General,17.7,20,23
31,8961003679759,Candi Biscuits Rs.50,General,0,50,9
32,8964004770746,Butterpuff  Biscuits Rs.50,General,0,50,9
33,745577341604,Atta,General,0,3000,4
